lufs,rms,crest_factor,bass_energy,mid_energy,high_energy,clipping_ratio,url
-13.31,0.225152,4.75,45.669575,4.708567,0.786651,2.5e-05,https://www.youtube.com/watch?v=4L0nNgqacig
-13.91,0.187246,5.61,28.010727,5.314656,0.866575,6e-06,https://www.youtube.com/watch?v=_6WCYzIczwc
-13.83,0.18544,5.62,26.521614,5.662198,1.304149,0.0,https://www.youtube.com/watch?v=EFqBI3gKiBI
-16.7,0.136606,6.15,16.39185,4.791972,0.695954,0.0,https://www.youtube.com/watch?v=4MB0CmrADaU
-19.85,0.095331,7.04,10.524215,2.702964,0.583179,0.0,https://www.youtube.com/watch?v=YZ6oKE47soQ
-14.9,0.167367,5.36,28.49106,5.317412,0.962728,0.0,https://www.youtube.com/watch?v=JPdm1AskDfc
-12.49,0.177506,5.46,16.89369,6.683281,0.659812,0.0,https://www.youtube.com/watch?v=U0-iZ-MXM34
-12.53,0.221425,4.38,33.418015,7.285224,0.61158,0.0,https://www.youtube.com/watch?v=5f5eiLOLIpg
-19.47,0.102914,8.36,16.943964,2.958329,0.332936,0.0,https://www.youtube.com/watch?v=A9UdCLGvjXg
-20.11,0.094682,8.58,15.770008,2.394787,0.259636,0.0,https://www.youtube.com/watch?v=JmP89cIGJZM
-13.63,0.209505,3.84,31.863714,6.7678,0.989951,0.0,https://www.youtube.com/watch?v=hEKJnaHwihw
-15.99,0.154991,4.33,20.655785,4.663318,0.406597,0.0,https://www.youtube.com/watch?v=iUXs4Nt3Y7Y
-15.15,0.1693,4.3,24.669384,5.57728,0.543666,0.0,https://www.youtube.com/watch?v=275IksF2fQM
-17.17,0.143547,5.02,19.764664,3.129198,0.286046,0.0,https://www.youtube.com/watch?v=HjF3E2zGNkg
-18.07,0.119954,6.46,15.294504,3.320142,0.438548,0.0,https://www.youtube.com/watch?v=mt0x6Wa1qnQ
-12.34,0.242794,4.1,40.339657,6.55509,0.996936,0.0,https://www.youtube.com/watch?v=LF9cETQM1OM
-13.0,0.217862,4.98,31.144222,6.991042,0.601076,9.3e-05,https://www.youtube.com/watch?v=Qe65zY__1AI
-16.46,0.158748,6.01,34.558304,4.031027,0.209882,0.0,https://www.youtube.com/watch?v=rX5CSpz8b6g
-12.56,0.240191,4.16,43.21692,5.409598,0.877196,0.0,https://www.youtube.com/watch?v=I-xXuJcfimg
-11.01,0.289758,4.06,58.183487,6.674816,1.824278,0.000987,https://www.youtube.com/watch?v=-KaNg-CmxaY
-24.13,0.050247,10.05,4.214635,1.503197,0.232163,0.0,https://www.youtube.com/watch?v=qZ1H-e8Z-LY
-17.07,0.127557,5.75,2.278918,4.247758,0.146527,0.0,https://www.youtube.com/watch?v=RveuudeQC34
-12.62,0.239467,4.29,34.535233,5.236914,0.770181,6e-06,https://www.youtube.com/watch?v=RvIQLBWMVRI
-16.81,0.120467,6.08,15.862645,3.260464,0.564132,0.0,https://www.youtube.com/watch?v=f41rIgQF-Mw
-11.17,0.252263,4.07,29.191662,8.543212,1.528506,2e-06,https://www.youtube.com/watch?v=nHxam-MQg-o
-10.6,0.284664,4.13,32.659668,8.844831,0.849981,0.000165,https://www.youtube.com/watch?v=43S_qfT6vpo
-13.38,0.198419,4.06,35.927612,5.668164,0.867,0.0,https://www.youtube.com/watch?v=_6JijRQqR7A
-11.0,0.271441,4.14,37.15266,8.91298,1.500256,0.000456,https://www.youtube.com/watch?v=hwhobfnyWNE
-11.55,0.214268,5.15,26.498777,6.795309,1.166038,3.6e-05,https://www.youtube.com/watch?v=vIMAcOJx3tc
-14.69,0.179161,5.88,32.137306,4.435093,0.545369,7e-06,https://www.youtube.com/watch?v=gOweBNPpuoM
-15.75,0.17152,4.43,32.885323,4.343732,0.557557,0.0,https://www.youtube.com/watch?v=GQQPRv08H4w
-21.51,0.081289,7.49,12.73371,2.355348,0.455057,0.0,https://www.youtube.com/watch?v=TnKyvgoO_VI
-18.84,0.097716,8.47,12.7778,2.52212,0.219057,0.0,https://www.youtube.com/watch?v=IfAcrSwaeU0
-14.99,0.160954,5.99,20.85427,5.623986,1.026964,0.0,https://www.youtube.com/watch?v=8dvpUhOa9ek
-24.2,0.060989,6.49,10.745979,1.493105,0.249067,0.0,https://www.youtube.com/watch?v=cyblSDoRRxg
-13.07,0.193123,5.46,27.437672,5.82392,1.024221,1.6e-05,https://www.youtube.com/watch?v=nxzi2rlLifQ
-13.76,0.177828,5.58,22.956608,4.461351,0.788278,0.0,https://www.youtube.com/watch?v=oGn-k8qW8VM
